cenario,rep,gol,chute_pedido,disparou,hz_controle,rastreio_med,rastreio_p90,janela_abriu,janela_armada,v_saida_mms,xx,yy,percorreu,bola_ini_x,bola_ini_y,bola_fim_x,bola_fim_y,andou,load
ataque,1,sem gol,nao ativado,NAO,,24,192,46,0,747,6722.6,36.3,198,,,,,,5.74
ataque,1,sem gol,nao ativado,NAO,100,103,271,404,0,640,5079.0,893.9,2052,,,,,,7.12
um_so_cobrador,1,sem gol,nao ativado,NAO,,,,0,0,,521.8,150.6,,,,,,,5.21
um_so_cobrador,2,sem gol,nao ativado,NAO,,,,0,0,,523.3,144.3,,,,,,,4.46
um_so_cobrador,3,sem gol,nao ativado,NAO,,,,0,0,,522.2,148.0,,,,,,,4.81
um_so_cobrador,4,sem gol,nao ativado,NAO,,,,0,0,,522.2,150.1,,,,,,,4.00
um_so_cobrador,5,sem gol,nao ativado,NAO,,,,0,0,806,521.5,153.8,7,,,,,,5.15
um_so_cobrador,6,sem gol,nao ativado,NAO,,,,0,0,,521.3,152.9,,,,,,,4.76
jogo,1,sem gol,nao ativado,NAO,,,,0,0,,3558.9,17.0,,,,,,,4.57
jogo,2,sem gol,nao ativado,NAO,,,,0,0,,3564.9,44.9,,,,,,,5.32
jogo,3,sem gol,nao ativado,NAO,,,,0,0,,3564.9,19.8,,,,,,,4.62
jogo,4,sem gol,nao ativado,NAO,,,,0,0,,3559.5,41.0,,,,,,,4.30
jogo,5,sem gol,nao ativado,NAO,,,,0,0,,3506.3,23.0,,,,,,,4.09
jogo,6,sem gol,nao ativado,NAO,,,,0,0,,3565.6,16.6,,,,,,,4.56
um_so_cobrador,1,GOL A FAVOR,ATIVADO,SIM,100,5,104,4,4,6191,12.5,66.5,963,,,,,,4.50
um_so_cobrador,2,GOL A FAVOR,ATIVADO,SIM,100,22,108,27,0,6368,7.3,16.7,1213,,,,,,5.42
um_so_cobrador,1,sem gol,ATIVADO,SIM,100,4,100,2,2,6342,69.6,17.1,1799,,,,,,4.98
um_so_cobrador,2,sem gol,ATIVADO,SIM,100,4,103,1,1,6128,75.0,13.6,2088,,,,,,5.34
um_so_cobrador,3,GOL A FAVOR,ATIVADO,SIM,100,5,102,55,0,6196,12.4,65.6,923,,,,,,5.10
um_so_cobrador,4,sem gol,ATIVADO,SIM,100,4,98,2,2,6178,76.3,0.2,1744,,,,,,4.46
um_so_cobrador,5,GOL A FAVOR,ATIVADO,SIM,100,5,104,0,0,6084,19.2,70.7,1820,,,,,,4.14
um_so_cobrador,6,GOL A FAVOR,ATIVADO,SIM,100,86,359,0,0,6282,4.5,93.6,2007,,,,,,4.91
jogo,1,sem gol,ATIVADO,NAO,100,23,292,0,0,,1658.3,721.7,,,,,,,5.72
jogo,2,sem gol,ATIVADO,SIM,100,7,348,49,25,947,2641.3,39.5,6165,,,,,,6.39
jogo,3,sem gol,ATIVADO,SIM,100,208,501,57,13,906,60.4,19.3,635,,,,,,5.95
jogo,4,GOL A FAVOR,ATIVADO,SIM,100,5,147,2,2,5986,2815.2,50.0,5527,,,,,,6.68
jogo,5,sem gol,ATIVADO,NAO,100,6,532,9,0,,2650.3,9.6,,,,,,,5.79
jogo,6,sem gol,ATIVADO,NAO,100,89,543,0,0,693,2620.9,33.8,218,,,,,,6.73
um_so_cobrador,1,GOL A FAVOR,ATIVADO,SIM,62,5,82,0,0,6208,33.7,10.1,1408,,,,,,3.13
um_so_cobrador,2,GOL A FAVOR,ATIVADO,SIM,62,5,88,1,1,6303,32.8,25.7,1822,,,,,,4.77
